window,feature_set,feature_family,model_name,model_group,contains_is_churn_prevented,roc_auc_repurchase,average_precision_repurchase,average_precision_churn_risk,balanced_accuracy_at_0_5_repurchase,precision_at_0_5_churn_risk,recall_at_0_5_churn_risk,f1_at_0_5_churn_risk,n_train,n_test,post_transform_feature_count
w1_3,membership_only_without_churn_prevented,membership_only,LogisticRegression,required_sklearn,N,0.5736623232781384,0.7588930249904073,0.33519169042805236,0.557107357205909,0.3317307692307692,0.6039387308533917,0.42823894491854153,19156.0,4777.0,85.0
w1_4,membership_only_without_churn_prevented,membership_only,LogisticRegression,required_sklearn,N,0.5736623232781384,0.7588930249904073,0.33519169042805236,0.557107357205909,0.3317307692307692,0.6039387308533917,0.42823894491854153,19156.0,4777.0,85.0
w1_4,membership_only_with_churn_prevented,membership_only,LogisticRegression,required_sklearn,Y,0.5735914396570517,0.759429626303594,0.33583714346668264,0.5568137576756682,0.33146517213771015,0.6039387308533917,0.42801757560093046,19156.0,4777.0,86.0
w1_3,membership_only_with_churn_prevented,membership_only,LogisticRegression,required_sklearn,Y,0.5735914396570517,0.759429626303594,0.33583714346668264,0.5568137576756682,0.33146517213771015,0.6039387308533917,0.42801757560093046,19156.0,4777.0,86.0
w1_3,membership_only_without_churn_prevented,membership_only,HistGradientBoostingClassifier,required_sklearn,N,0.5718420490206282,0.7529725787877535,0.3385557885984344,0.5,0.0,0.0,0.0,19156.0,4777.0,85.0
w1_4,membership_only_without_churn_prevented,membership_only,HistGradientBoostingClassifier,required_sklearn,N,0.5718420490206282,0.7529725787877535,0.3385557885984344,0.5,0.0,0.0,0.0,19156.0,4777.0,85.0
w1_4,membership_only_with_churn_prevented,membership_only,HistGradientBoostingClassifier,required_sklearn,Y,0.5718420490206282,0.7529725787877535,0.3385557885984344,0.5,0.0,0.0,0.0,19156.0,4777.0,86.0
w1_3,membership_only_with_churn_prevented,membership_only,HistGradientBoostingClassifier,required_sklearn,Y,0.5718420490206282,0.7529725787877535,0.3385557885984344,0.5,0.0,0.0,0.0,19156.0,4777.0,86.0
w1_3,membership_only_with_churn_prevented,membership_only,XGBClassifier,optional_booster,Y,0.5712700546039448,0.7564316292371361,0.33404061474313973,0.5,0.0,0.0,0.0,19156.0,4777.0,86.0
w1_4,membership_only_with_churn_prevented,membership_only,XGBClassifier,optional_booster,Y,0.5712700546039448,0.7564316292371361,0.33404061474313973,0.5,0.0,0.0,0.0,19156.0,4777.0,86.0
