trial,mean_valid_auc,mean_train_auc,gap,overfit,penalty,C
167,0.8602712311512919,0.8683490018597899,0.008077770708498022,False,l1,0.7298835147282808
197,0.8602691534300506,0.8683506421117801,0.008081488681729532,False,l1,0.7657418147593047
188,0.8602688042468939,0.868350987738074,0.008082183491180062,False,l1,0.7773150885662076
147,0.8602663913567694,0.8683511172190004,0.008084725862230968,False,l1,0.7932103504789938
23,0.8602660427341837,0.8683505558581789,0.008084513123995163,False,l1,0.7668605197050833
102,0.860265700838449,0.8683513330846468,0.00808563224619785,False,l1,0.7932890934519368
127,0.860265692990456,0.8683568809427786,0.008091187952322665,False,l1,0.8765427727057655
136,0.8602653611849982,0.8683512251474529,0.008085863962454698,False,l1,0.7386436150348072
165,0.8602643685714797,0.8679571435748002,0.007692775003320551,False,l1,0.22419088347502417
55,0.8602639717397936,0.868350793363712,0.008086821623918383,False,l1,0.8037051701556801
75,0.8602632806609025,0.8683518081306781,0.00808852746977562,False,l1,0.8175062591083568
168,0.8602627268956224,0.8683497999831354,0.008087073087512997,False,l2,0.32966550198382766
83,0.8602625895820113,0.868350426796834,0.008087837214822757,False,l1,0.8276140790173598
140,0.8602625867791565,0.8683581978814401,0.008095611102283629,False,l1,0.8991536338830293
120,0.860261543153683,0.8683671986108943,0.008105655457211314,False,l1,0.9943880102767042
174,0.8602612074242286,0.8683505344980136,0.008089327073784958,False,l1,0.8086269684691665
41,0.8602611990156646,0.8683676303509287,0.00810643133526412,False,l1,0.9939565377890819
183,0.8602605096184863,0.8683599246317873,0.008099415013301026,False,l1,0.9202656553972407
114,0.8602601688438934,0.8683569672313448,0.008096798387451365,False,l1,0.8869212342777328
56,0.8602578036022983,0.8679392702506613,0.007681466648363,False,l1,0.21916704544900442
139,0.8602568468390521,0.8683142263840192,0.008057379544967103,False,l2,0.2201910063285922
69,0.860256161926441,0.8683501020324529,0.008093940106011832,False,l2,0.33815317879359535
88,0.8602560156436947,0.8683682133866014,0.008112197742906724,False,l1,1.021144412763638
65,0.860255735410763,0.8679433718727723,0.007687636462009317,False,l1,0.2204994301469461
67,0.860254636849338,0.8683623849879195,0.008107748138581505,False,l1,0.9356572497256616
22,0.8602543504501258,0.8679358165926239,0.0076814661424980946,False,l1,0.21810676548376573
178,0.860254289908465,0.8683734144908147,0.008119124582349757,False,l1,1.2667371663244384
119,0.8602533981714469,0.8683013830205304,0.008047984849083534,False,l2,0.20880503926120997
29,0.8602530641237054,0.8683827602084495,0.00812969608474412,False,l2,0.6590781834202828
148,0.8602529083112535,0.868370155198398,0.008117246887144547,False,l1,1.1042179556856504
35,0.8602522127477947,0.8683790042825624,0.008126791534767697,False,l1,1.4615480729952568
